Date,year,MonthName,MonthNo,Day,DayName,DayNo
2019-08-12 00:00:00,2019,August,8,12,Monday,2
2019-08-19 00:00:00,2019,August,8,19,Monday,2
2019-08-26 00:00:00,2019,August,8,26,Monday,2
2017-12-04 00:00:00,2017,December,12,4,Monday,2
2017-12-11 00:00:00,2017,December,12,11,Monday,2
2017-12-18 00:00:00,2017,December,12,18,Monday,2
2017-12-25 00:00:00,2017,December,12,25,Monday,2
2018-12-03 00:00:00,2018,December,12,3,Monday,2
2018-12-10 00:00:00,2018,December,12,10,Monday,2
2018-12-17 00:00:00,2018,December,12,17,Monday,2
2018-12-24 00:00:00,2018,December,12,24,Monday,2
2018-12-31 00:00:00,2018,December,12,31,Monday,2
2019-12-02 00:00:00,2019,December,12,2,Monday,2
2019-12-09 00:00:00,2019,December,12,9,Monday,2
2019-12-16 00:00:00,2019,December,12,16,Monday,2
2019-12-23 00:00:00,2019,December,12,23,Monday,2
2019-12-30 00:00:00,2019,December,12,30,Monday,2
2017-02-06 00:00:00,2017,February,2,6,Monday,2
2017-02-13 00:00:00,2017,February,2,13,Monday,2
2017-02-20 00:00:00,2017,February,2,20,Monday,2
2017-02-27 00:00:00,2017,February,2,27,Monday,2
2018-02-05 00:00:00,2018,February,2,5,Monday,2
2018-02-12 00:00:00,2018,February,2,12,Monday,2
2018-02-19 00:00:00,2018,February,2,19,Monday,2
2018-02-26 00:00:00,2018,February,2,26,Monday,2
2019-02-04 00:00:00,2019,February,2,4,Monday,2
2019-02-11 00:00:00,2019,February,2,11,Monday,2
2019-02-18 00:00:00,2019,February,2,18,Monday,2
2019-02-25 00:00:00,2019,February,2,25,Monday,2
2017-01-02 00:00:00,2017,January,1,2,Monday,2
2017-01-09 00:00:00,2017,January,1,9,Monday,2
2017-01-16 00:00:00,2017,January,1,16,Monday,2
2017-01-23 00:00:00,2017,January,1,23,Monday,2
2017-01-30 00:00:00,2017,January,1,30,Monday,2
2018-01-01 00:00:00,2018,January,1,1,Monday,2
2018-01-08 00:00:00,2018,January,1,8,Monday,2
2018-01-15 00:00:00,2018,January,1,15,Monday,2
2018-01-22 00:00:00,2018,January,1,22,Monday,2
2018-01-29 00:00:00,2018,January,1,29,Monday,2
2019-01-07 00:00:00,2019,January,1,7,Monday,2
2019-01-14 00:00:00,2019,January,1,14,Monday,2
2019-01-21 00:00:00,2019,January,1,21,Monday,2
2019-01-28 00:00:00,2019,January,1,28,Monday,2
2017-07-03 00:00:00,2017,July,7,3,Monday,2
2017-07-10 00:00:00,2017,July,7,10,Monday,2
2017-07-17 00:00:00,2017,July,7,17,Monday,2
2017-07-24 00:00:00,2017,July,7,24,Monday,2
2017-07-31 00:00:00,2017,July,7,31,Monday,2
2018-07-02 00:00:00,2018,July,7,2,Monday,2
2018-07-09 00:00:00,2018,July,7,9,Monday,2
2018-07-16 00:00:00,2018,July,7,16,Monday,2
2018-07-23 00:00:00,2018,July,7,23,Monday,2
2018-07-30 00:00:00,2018,July,7,30,Monday,2
2019-07-01 00:00:00,2019,July,7,1,Monday,2
2019-07-08 00:00:00,2019,July,7,8,Monday,2
2019-07-15 00:00:00,2019,July,7,15,Monday,2
2019-07-22 00:00:00,2019,July,7,22,Monday,2
2019-07-29 00:00:00,2019,July,7,29,Monday,2
2017-06-05 00:00:00,2017,June,6,5,Monday,2
2017-06-12 00:00:00,2017,June,6,12,Monday,2
2017-06-19 00:00:00,2017,June,6,19,Monday,2
2017-06-26 00:00:00,2017,June,6,26,Monday,2
2018-06-04 00:00:00,2018,June,6,4,Monday,2
2018-06-11 00:00:00,2018,June,6,11,Monday,2
2018-06-18 00:00:00,2018,June,6,18,Monday,2
2018-06-25 00:00:00,2018,June,6,25,Monday,2
2019-06-03 00:00:00,2019,June,6,3,Monday,2
2019-06-10 00:00:00,2019,June,6,10,Monday,2
2019-06-17 00:00:00,2019,June,6,17,Monday,2
2019-06-24 00:00:00,2019,June,6,24,Monday,2
2017-03-06 00:00:00,2017,March,3,6,Monday,2
2017-03-13 00:00:00,2017,March,3,13,Monday,2
2017-03-20 00:00:00,2017,March,3,20,Monday,2
2017-03-27 00:00:00,2017,March,3,27,Monday,2
2018-03-05 00:00:00,2018,March,3,5,Monday,2
2018-03-12 00:00:00,2018,March,3,12,Monday,2
2018-03-19 00:00:00,2018,March,3,19,Monday,2
2018-03-26 00:00:00,2018,March,3,26,Monday,2
2019-03-04 00:00:00,2019,March,3,4,Monday,2
2019-03-11 00:00:00,2019,March,3,11,Monday,2
2019-03-18 00:00:00,2019,March,3,18,Monday,2
